VD,ID
0,2.167E-10
0.2,2.3723E-10
0.4,2.5522E-10
0.6,2.7198000000000003E-10
0.8,2.8693E-10
1,3.0171000000000004E-10
1.2,3.164E-10
1.4000000000000001,3.3027000000000004E-10
1.6,3.4359000000000005E-10
1.8,3.5677000000000005E-10
2,3.6922000000000004E-10
2.2,3.825E-10
2.4,3.9455000000000005E-10
2.6,4.0681E-10
2.8000000000000003,4.1950000000000005E-10
3,4.3162000000000006E-10
3.2,4.4344E-10
3.4,4.5544000000000003E-10
3.6,4.6788E-10
3.8000000000000003,4.7988E-10
4,4.9199000000000008E-10
4.2,5.0390000000000009E-10
4.4,5.1617000000000009E-10
4.6000000000000005,5.2887000000000006E-10
4.8,5.4099E-10
5,5.5301E-10
0,3.9781000000000005E-10
0.2,4.1314000000000003E-10
0.4,4.2601E-10
0.6,4.3704E-10
0.8,4.4778000000000003E-10
1,4.5742000000000006E-10
1.2,4.6784E-10
1.4000000000000001,4.7765E-10
1.6,4.8744E-10
1.8,4.975E-10
2,5.0790000000000008E-10
2.2,5.1830000000000006E-10
2.4,5.2845000000000007E-10
2.6,5.3913000000000008E-10
2.8000000000000003,5.5062E-10
3,5.6156000000000008E-10
3.2,5.7301000000000007E-10
3.4,5.8519E-10
3.6,5.9762000000000005E-10
3.8000000000000003,6.0975000000000009E-10
4,6.2352E-10
4.2,6.3674E-10
4.4,6.4994E-10
4.6000000000000005,6.6427E-10
4.8,6.7852E-10
5,6.9339E-10
0,4.9015E-10
0.2,5.1191E-10
0.4,5.2917E-10
0.6,5.4445E-10
0.8,5.5882E-10
1,5.7176E-10
1.2,5.8506E-10
1.4000000000000001,5.9785000000000006E-10
1.6,6.1105000000000008E-10
1.8,6.2424E-10
2,6.3778E-10
2.2,6.5113E-10
2.4,6.6492E-10
2.6,6.7856000000000008E-10
2.8000000000000003,6.9284000000000006E-10
3,7.0734000000000006E-10
3.2,7.2165000000000009E-10
3.4,7.366E-10
3.6,7.5158000000000011E-10
3.8000000000000003,7.6677E-10
4,7.8228E-10
4.2,7.9783E-10
4.4,8.1348000000000007E-10
4.6000000000000005,8.2974000000000007E-10
4.8,8.4623000000000009E-10
5,8.6333000000000006E-10
0,5.9908000000000007E-10
0.2,6.2585000000000007E-10
0.4,6.4768000000000008E-10
0.6,6.6585E-10
0.8,6.8222E-10
1,6.9748000000000006E-10
1.2,7.1274000000000006E-10
1.4000000000000001,7.2768E-10
1.6,7.4255000000000009E-10
1.8,7.5718000000000007E-10
2,7.7198000000000006E-10
2.2,7.8703E-10
2.4,8.0228E-10
2.6,8.1731E-10
2.8000000000000003,8.3268000000000007E-10
3,8.482E-10
3.2,8.641E-10
3.4,8.8015000000000011E-10
3.6,8.9691000000000006E-10
3.8000000000000003,9.1351000000000008E-10
4,9.2954000000000008E-10
4.2,9.4648E-10
4.4,9.6378000000000016E-10
4.6000000000000005,9.8103E-10
4.8,9.9856000000000012E-10
5,1.01617E-09
0,6.941100000000001E-10
0.2,7.2724000000000007E-10
0.4,7.535E-10
0.6,7.7485000000000007E-10
0.8,7.9414E-10
1,8.1134E-10
1.2,8.2785000000000009E-10
1.4000000000000001,8.4423000000000009E-10
1.6,8.6033000000000007E-10
1.8,8.759E-10
2,8.9223E-10
2.2,9.0861E-10
2.4,9.2467000000000008E-10
2.6,9.4071000000000016E-10
2.8000000000000003,9.5777E-10
3,9.7411E-10
3.2,9.9097000000000015E-10
3.4,1.0084200000000001E-09
3.6,1.0253700000000002E-09
3.8000000000000003,1.04252E-09
4,1.0601500000000001E-09
4.2,1.0839E-09
4.4,1.1017E-09
4.6000000000000005,1.1198E-09
4.8,1.1382E-09
5,1.1572E-09
0,7.7760000000000009E-10
0.2,8.1815E-10
0.4,8.495100000000001E-10
0.6,8.7489000000000007E-10
0.8,8.9649000000000008E-10
1,9.1623E-10
1.2,9.3416E-10
1.4000000000000001,9.5157E-10
1.6,9.6847E-10
1.8,9.8554E-10
2,1.00265E-09
2.2,1.0199000000000002E-09
2.4,1.0369E-09
2.6,1.05458E-09
2.8000000000000003,1.07183E-09
3,1.0935E-09
3.2,1.1114E-09
3.4,1.1291E-09
3.6,1.1474E-09
3.8000000000000003,1.1659E-09
4,1.1838E-09
4.2,1.2025E-09
4.4,1.221E-09
4.6000000000000005,1.2399E-09
4.8,1.2589E-09
5,1.2782E-09
0,8.4619000000000005E-10
0.2,8.959500000000001E-10
0.4,9.3410000000000011E-10
0.6,9.6453E-10
0.8,9.8991000000000015E-10
1,1.01145E-09
1.2,1.03085E-09
1.4000000000000001,1.04978E-09
1.6,1.06795E-09
1.8,1.089E-09
2,1.1065E-09
2.2,1.1248E-09
2.4,1.1424E-09
2.6,1.1603E-09
2.8000000000000003,1.1787E-09
3,1.1966E-09
3.2,1.215E-09
3.4,1.2334E-09
3.6,1.2526E-09
3.8000000000000003,1.2713E-09
4,1.2901E-09
4.2,1.3097E-09
4.4,1.3285E-09
4.6000000000000005,1.3476E-09
4.8,1.3673E-09
5,1.3873E-09
0,9.0132E-10
0.2,9.6345E-10
0.4,1.01007E-09
0.6,1.04664E-09
0.8,1.0783E-09
1,1.1032E-09
1.2,1.1245E-09
1.4000000000000001,1.1445E-09
1.6,1.1635E-09
1.8,1.1824E-09
2,1.2012E-09
2.2,1.2197E-09
2.4,1.2381E-09
2.6,1.2564E-09
2.8000000000000003,1.2753E-09
3,1.2939E-09
3.2,1.3134E-09
3.4,1.3324999999999999E-09
3.6,1.3523E-09
3.8000000000000003,1.3714E-09
4,1.3906E-09
4.2,1.4098E-09
4.4,1.4301E-09
4.6000000000000005,1.4502E-09
4.8,1.4698E-09
5,1.49E-09
0,9.4435000000000016E-10
0.2,1.02193E-09
0.4,1.0819E-09
0.6,1.1276E-09
0.8,1.1624E-09
1,1.191E-09
1.2,1.2152E-09
1.4000000000000001,1.237E-09
1.6,1.257E-09
1.8,1.2763E-09
2,1.2951E-09
2.2,1.3149E-09
2.4,1.3339E-09
2.6,1.3528E-09
2.8000000000000003,1.3715999999999999E-09
3,1.3912E-09
3.2,1.4106999999999999E-09
3.4,1.4302E-09
3.6,1.4496E-09
3.8000000000000003,1.4691E-09
4,1.4896E-09
4.2,1.5095E-09
4.4,1.5297E-09
4.6000000000000005,1.5498E-09
4.8,1.571E-09
5,1.5905E-09
0,9.765E-10
0.2,1.07401E-09
0.4,1.1484E-09
0.6,1.2044E-09
0.8,1.2471E-09
1,1.2813E-09
1.2,1.3093E-09
1.4000000000000001,1.3333E-09
1.6,1.3548E-09
1.8,1.3757E-09
2,1.3958E-09
2.2,1.4151E-09
2.4,1.435E-09
2.6,1.4545E-09
2.8000000000000003,1.474E-09
3,1.4933E-09
3.2,1.5134E-09
3.4,1.5333E-09
3.6,1.5529E-09
3.8000000000000003,1.5739E-09
4,1.5933E-09
4.2,1.6136E-09
4.4,1.6337E-09
4.6000000000000005,1.6552E-09
4.8,1.6758E-09
5,1.6961E-09
0,9.987E-10
0.2,1.1197E-09
0.4,1.2133E-09
0.6,1.2839E-09
0.8,1.3379E-09
1,1.3794E-09
1.2,1.4123E-09
1.4000000000000001,1.4393E-09
1.6,1.4636E-09
1.8,1.4856E-09
2,1.5067E-09
2.2,1.5265E-09
2.4,1.5459E-09
2.6,1.5658E-09
2.8000000000000003,1.5859E-09
3,1.6054E-09
3.2,1.6258E-09
3.4,1.6461E-09
3.6,1.6661E-09
3.8000000000000003,1.6866E-09
4,1.7068E-09
4.2,1.7271E-09
4.4,1.7477E-09
4.6000000000000005,1.7692E-09
4.8,1.7895E-09
5,1.8107E-09
0,1.0124E-09
0.2,1.1629E-09
0.4,1.2793E-09
0.6,1.3685E-09
0.8,1.4375E-09
1,1.4891E-09
1.2,1.5295E-09
1.4000000000000001,1.5613E-09
1.6,1.5884E-09
1.8,1.6123E-09
2,1.6341E-09
2.2,1.6554E-09
2.4,1.6761E-09
2.6,1.6962E-09
2.8000000000000003,1.7165E-09
3,1.7364E-09
3.2,1.7568E-09
3.4,1.7772E-09
3.6,1.7972E-09
3.8000000000000003,1.8177E-09
4,1.8383E-09
4.2,1.859E-09
4.4,1.8799E-09
4.6000000000000005,1.9002E-09
4.8,1.9215E-09
5,1.9428E-09
0,1.019E-09
0.2,1.2041E-09
0.4,1.3497E-09
0.6,1.4621E-09
0.8,1.5478E-09
1,1.6138E-09
1.2,1.664E-09
1.4000000000000001,1.7031E-09
1.6,1.7353E-09
1.8,1.7612E-09
2,1.7852E-09
2.2,1.8072E-09
2.4,1.8288E-09
2.6,1.8492E-09
2.8000000000000003,1.8698E-09
3,1.8904E-09
3.2,1.9109E-09
3.4,1.9311E-09
3.6,1.9522E-09
3.8000000000000003,1.9728E-09
4,1.994E-09
4.2,2.0147E-09
4.4,2.0349E-09
4.6000000000000005,2.056E-09
4.8,2.0768E-09
5,2.0985E-09
0,1.0203E-09
0.2,1.2468E-09
0.4,1.4261E-09
0.6,1.5664E-09
0.8,1.675E-09
1,1.7582E-09
1.2,1.821E-09
1.4000000000000001,1.87E-09
1.6,1.9079E-09
1.8,1.9389E-09
2,1.9652E-09
2.2,1.9897E-09
2.4,2.0115E-09
2.6,2.0322E-09
2.8000000000000003,2.0535E-09
3,2.0745E-09
3.2,2.0947E-09
3.4,2.1161E-09
3.6,2.1368E-09
3.8000000000000003,2.1569E-09
4,2.1786E-09
4.2,2.1998E-09
4.4,2.2204E-09
4.6000000000000005,2.2416E-09
4.8,2.2626E-09
5,2.2842E-09
0,1.0172E-09
0.2,1.29E-09
0.4,1.5096E-09
0.6,1.6838E-09
0.8,1.8196E-09
1,1.9246E-09
1.2,2.0046E-09
1.4000000000000001,2.0659E-09
1.6,2.1129E-09
1.8,2.1504E-09
2,2.1809E-09
2.2,2.207E-09
2.4,2.2303E-09
2.6,2.2531E-09
2.8000000000000003,2.275E-09
3,2.2959E-09
3.2,2.3164E-09
3.4,2.3381E-09
3.6,2.3589E-09
3.8000000000000003,2.3795E-09
4,2.4008E-09
4.2,2.4214E-09
4.4,2.4428E-09
4.6000000000000005,2.4642E-09
4.8,2.4851E-09
5,2.5073E-09
0,1.0103E-09
0.2,1.3365E-09
0.4,1.6026E-09
0.6,1.8161E-09
0.8,1.9849E-09
1,2.1173E-09
1.2,2.2181E-09
1.4000000000000001,2.296E-09
1.6,2.3554E-09
1.8,2.4008E-09
2,2.4367E-09
2.2,2.4675E-09
2.4,2.4938E-09
2.6,2.5177E-09
2.8000000000000003,2.5395E-09
3,2.5622E-09
3.2,2.5833E-09
3.4,2.6044E-09
3.6,2.6255E-09
3.8000000000000003,2.6462E-09
4,2.668E-09
4.2,2.6886E-09
4.4,2.7098E-09
4.6000000000000005,2.7315E-09
4.8,2.7528E-09
5,2.7749E-09
0,1E-09
0.2,1.3874E-09
0.4,1.7059E-09
0.6,1.9651E-09
0.8,2.1725E-09
1,2.3366E-09
1.2,2.4641E-09
1.4000000000000001,2.5628E-09
1.6,2.6378E-09
1.8,2.6955E-09
2,2.7403E-09
2.2,2.7767E-09
2.4,2.8062E-09
2.6,2.8323E-09
2.8000000000000003,2.8556E-09
3,2.8784E-09
3.2,2.8997E-09
3.4,2.9213E-09
3.6,2.9426E-09
3.8000000000000003,2.964E-09
4,2.9855E-09
4.2,3.0062E-09
4.4,3.0276E-09
4.6000000000000005,3.0488E-09
4.8,3.0705E-09
5,3.0926E-09
0,9.887E-10
0.2,1.4429E-09
0.4,1.8203E-09
0.6,2.1319E-09
0.8,2.3839E-09
1,2.5867E-09
1.2,2.7451E-09
1.4000000000000001,2.8692E-09
1.6,2.9642E-09
1.8,3.0372E-09
2,3.0927E-09
2.2,3.1367E-09
2.4,3.1715E-09
2.6,3.2013E-09
2.8000000000000003,3.2263E-09
3,3.2512E-09
3.2,3.2735E-09
3.4,3.2956E-09
3.6,3.3175E-09
3.8000000000000003,3.3392E-09
4,3.3601E-09
4.2,3.3819E-09
4.4,3.4032E-09
4.6000000000000005,3.4242E-09
4.8,3.4457E-09
5,3.4684E-09
0,9.7250000000000011E-10
0.2,1.5018E-09
0.4,1.9468E-09
0.6,2.3176E-09
0.8,2.6217E-09
1,2.868E-09
1.2,3.0646E-09
1.4000000000000001,3.2195E-09
1.6,3.3393E-09
1.8,3.4325E-09
2,3.5023E-09
2.2,3.5567E-09
2.4,3.5993999999999998E-09
2.6,3.634E-09
2.8000000000000003,3.6637E-09
3,3.6894E-09
3.2,3.7134E-09
3.4,3.7364E-09
3.6,3.7587E-09
3.8000000000000003,3.7805E-09
4,3.802E-09
4.2,3.8238999999999996E-09
4.4,3.8456E-09
4.6000000000000005,3.8672E-09
4.8,3.8892E-09
5,3.9108E-09
0,9.5666E-10
0.2,1.5687E-09
0.4,2.0877E-09
0.6,2.5242E-09
0.8,2.8863E-09
1,3.1842E-09
1.2,3.4239E-09
1.4000000000000001,3.6154E-09
1.6,3.7661E-09
1.8,3.8827E-09
2,3.972E-09
2.2,4.0412E-09
2.4,4.0941E-09
2.6,4.1362E-09
2.8000000000000003,4.1708E-09
3,4.1994E-09
3.2,4.225E-09
3.4,4.2497E-09
3.6,4.2724E-09
3.8000000000000003,4.2948E-09
4,4.3157E-09
4.2,4.3382E-09
4.4,4.36E-09
4.6000000000000005,4.3815E-09
4.8,4.4034E-09
5,4.4248E-09
0,9.3796000000000014E-10
0.2,1.6408E-09
0.4,2.2425E-09
0.6,2.7528E-09
0.8,3.1818E-09
1,3.537E-09
1.2,3.8278E-09
1.4000000000000001,4.0628E-09
1.6,4.2496E-09
1.8,4.3961E-09
2,4.5092E-09
2.2,4.5959E-09
2.4,4.6634E-09
2.6,4.7147E-09
2.8000000000000003,4.7562E-09
3,4.7902E-09
3.2,4.818E-09
3.4,4.8436E-09
3.6,4.8676E-09
3.8000000000000003,4.891E-09
4,4.9133E-09
4.2,4.9362E-09
4.4,4.9568E-09
4.6000000000000005,4.9798E-09
4.8,5.0011E-09
5,5.0232E-09
0,9.1901000000000012E-10
0.2,1.7206E-09
0.4,2.4113E-09
0.6,3.0042E-09
0.8,3.5065E-09
1,3.9275E-09
1.2,4.2758E-09
1.4000000000000001,4.5612E-09
1.6,4.7902E-09
1.8,4.9726E-09
2,5.1148E-09
2.2,5.2258E-09
2.4,5.3102E-09
2.6,5.3759E-09
2.8000000000000003,5.426E-09
3,5.4664E-09
3.2,5.4997E-09
3.4,5.5283E-09
3.6,5.554E-09
3.8000000000000003,5.5785E-09
4,5.602E-09
4.2,5.6244E-09
4.4,5.6459E-09
4.6000000000000005,5.6687E-09
4.8,5.6908E-09
5,5.7126E-09
0,8.9881E-10
0.2,1.8067E-09
0.4,2.5955E-09
0.6,3.2781E-09
0.8,3.8615E-09
1,4.3552E-09
1.2,4.7686E-09
1.4000000000000001,5.1109E-09
1.6,5.3899E-09
1.8,5.6142E-09
2,5.7919E-09
2.2,5.9313E-09
2.4,6.0388E-09
2.6,6.1219E-09
2.8000000000000003,6.185E-09
3,6.2351E-09
3.2,6.2756E-09
3.4,6.3086E-09
3.6,6.3362E-09
3.8000000000000003,6.3625E-09
4,6.3864E-09
4.2,6.4092E-09
4.4,6.432E-09
4.6000000000000005,6.4543E-09
4.8,6.4762E-09
5,6.4989E-09
0,8.777500000000001E-10
0.2,1.9003E-09
0.4,2.7948E-09
0.6,3.5744E-09
0.8,4.2474E-09
1,4.8223E-09
1.2,5.3082E-09
1.4000000000000001,5.7152E-09
1.6,6.0507E-09
1.8,6.323E-09
2,6.5427E-09
2.2,6.7168E-09
2.4,6.8526E-09
2.6,6.9567E-09
2.8000000000000003,7.0382E-09
3,7.1009E-09
3.2,7.1504E-09
3.4,7.1889E-09
3.6,7.2212E-09
3.8000000000000003,7.2497E-09
4,7.2756E-09
4.2,7.2995E-09
4.4,7.3224E-09
4.6000000000000005,7.345E-09
4.8,7.3684E-09
5,7.3898E-09
0,8.5588E-10
0.2,1.9999E-09
0.4,3.0097E-09
0.6,3.8951E-09
0.8,4.6644E-09
1,5.3286E-09
1.2,5.8942E-09
1.4000000000000001,6.3732E-09
1.6,6.7727E-09
1.8,7.1022E-09
2,7.3691E-09
2.2,7.5843E-09
2.4,7.7539E-09
2.6,7.8868E-09
2.8000000000000003,7.9891E-09
3,8.068E-09
3.2,8.1296E-09
3.4,8.1776999999999992E-09
3.6,8.2172E-09
3.8000000000000003,8.2487E-09
4,8.2777E-09
4.2,8.3042E-09
4.4,8.3281E-09
4.6000000000000005,8.3508E-09
4.8,8.3743E-09
5,8.3966E-09
0,8.3608000000000007E-10
0.2,2.1098E-09
0.4,3.2397E-09
0.6,4.2377E-09
0.8,5.1117E-09
1,5.8721E-09
1.2,6.5253E-09
1.4000000000000001,7.0828E-09
1.6,7.553E-09
1.8,7.9455E-09
2,8.2675E-09
2.2,8.5297E-09
2.4,8.7389E-09
2.6,8.9046E-09
2.8000000000000003,9.0348E-09
3,9.135E-09
3.2,9.2124E-09
3.4,9.2723E-09
3.6,9.3199E-09
3.8000000000000003,9.3576E-09
4,9.3907E-09
4.2,9.4188E-09
4.4,9.4447E-09
4.6000000000000005,9.4687E-09
4.8,9.4929E-09
5,9.5154E-09
